Category,Formant,CF,CF_Freq,GW_Distance,NumSamples,PerturbationType
Fricative,F2,CF4,2000,0.102,1000,jitter
Fricative,F3,CF4,2000,0.133,1000,jitter
Fricative,F1,CF2,500,0.075,1000,scattered_jitter
Fricative,F2,CF6,8000,0.131,1000,jitter
Fricative,F1,CF4,2000,0.073,1000,scattered_jitter
Fricative,F1,CF5,4000,0.076,1000,scattered_jitter
Fricative,F1,CF3,1000,0.088,1000,scattered_jitter
Fricative,F3,CF5,4000,0.13,1000,scattered_jitter
Liquid,F1,CF5,4000,0.046,1000,loss
Fricative,F2,CF3,1000,0.103,1000,scattered_jitter
Fricative,F2,CF4,2000,0.092,1000,scattered_jitter
Fricative,F2,CF2,500,0.095,1000,scattered_jitter
Fricative,F2,CF1,250,0.139,1000,scattered_jitter
Liquid,F1,CF2,500,0.04,1000,loss
Fricative,F2,CF5,4000,0.094,1000,scattered_jitter
Fricative,F2,CF6,8000,0.138,1000,scattered_jitter
Fricative,F3,CF3,1000,0.142,1000,scattered_jitter
Fricative,F3,CF4,2000,0.129,1000,scattered_jitter
Fricative,F3,CF2,500,0.133,1000,scattered_jitter
Liquid,F1,CF4,2000,0.041,1000,loss
Fricative,F3,CF6,8000,0.183,1000,scattered_jitter
Liquid,F1,CF3,1000,0.032,1000,loss
Liquid,F1,CF6,8000,0.052,1000,loss
Liquid,F1,CF1,250,0.059,1000,loss
Fricative,F3,CF1,250,0.183,1000,scattered_jitter
Liquid,F2,CF1,250,0.07,1000,loss
Liquid,F2,CF2,500,0.057,1000,loss
Liquid,F2,CF3,1000,0.036,1000,loss
Liquid,F3,CF3,1000,0.037,1000,loss
Liquid,F3,CF5,4000,0.055,1000,loss
Liquid,F2,CF6,8000,0.069,1000,loss
Liquid,F1,CF1,250,0.065,1000,truncation
Liquid,F1,CF3,1000,0.038,1000,truncation
Liquid,F3,CF1,250,0.069,1000,loss
Liquid,F3,CF2,500,0.047,1000,loss
Liquid,F2,CF5,4000,0.054,1000,loss
Liquid,F2,CF3,1000,0.053,1000,truncation
Liquid,F1,CF4,2000,0.049,1000,truncation
Liquid,F3,CF4,2000,0.049,1000,loss
Liquid,F2,CF4,2000,0.06,1000,loss
Liquid,F1,CF2,500,0.043,1000,truncation
Liquid,F1,CF5,4000,0.033,1000,truncation
Liquid,F2,CF2,500,0.042,1000,truncation
Liquid,F2,CF4,2000,0.049,1000,truncation
Liquid,F3,CF6,8000,0.064,1000,loss
Liquid,F1,CF6,8000,0.06,1000,truncation
Liquid,F2,CF1,250,0.075,1000,truncation
Liquid,F1,CF2,500,0.047,1000,jitter
Liquid,F2,CF5,4000,0.032,1000,truncation
Liquid,F3,CF3,1000,0.046,1000,truncation
Liquid,F1,CF1,250,0.066,1000,jitter
Liquid,F3,CF1,250,0.091,1000,truncation
Liquid,F1,CF4,2000,0.047,1000,jitter
Liquid,F3,CF5,4000,0.04,1000,truncation
Liquid,F3,CF4,2000,0.058,1000,truncation
Liquid,F3,CF2,500,0.051,1000,truncation
Liquid,F3,CF6,8000,0.088,1000,truncation
Liquid,F2,CF2,500,0.065,1000,jitter
Liquid,F1,CF3,1000,0.042,1000,jitter
Liquid,F2,CF3,1000,0.055,1000,jitter
Liquid,F1,CF5,4000,0.046,1000,jitter
Liquid,F2,CF1,250,0.085,1000,jitter
Liquid,F2,CF6,8000,0.062,1000,truncation
Liquid,F1,CF6,8000,0.072,1000,jitter
Liquid,F2,CF4,2000,0.068,1000,jitter
Liquid,F2,CF5,4000,0.05,1000,jitter
Liquid,F2,CF6,8000,0.091,1000,jitter
Liquid,F1,CF5,4000,0.032,1000,scattered_jitter
Liquid,F3,CF2,500,0.074,1000,jitter
Liquid,F1,CF4,2000,0.045,1000,scattered_jitter
Liquid,F3,CF5,4000,0.052,1000,jitter
Liquid,F2,CF5,4000,0.034,1000,scattered_jitter
Liquid,F1,CF2,500,0.038,1000,scattered_jitter
Liquid,F3,CF4,2000,0.056,1000,jitter
Liquid,F1,CF1,250,0.056,1000,scattered_jitter
Liquid,F1,CF3,1000,0.042,1000,scattered_jitter
Liquid,F3,CF1,250,0.095,1000,jitter
Liquid,F2,CF1,250,0.075,1000,scattered_jitter
Liquid,F3,CF3,1000,0.063,1000,jitter
Liquid,F2,CF4,2000,0.06,1000,scattered_jitter
Liquid,F3,CF6,8000,0.101,1000,jitter
Liquid,F2,CF3,1000,0.045,1000,scattered_jitter
Liquid,F3,CF2,500,0.059,1000,scattered_jitter
Liquid,F2,CF2,500,0.055,1000,scattered_jitter
Liquid,F3,CF1,250,0.08,1000,scattered_jitter
Liquid,F1,CF6,8000,0.064,1000,scattered_jitter
Liquid,F2,CF6,8000,0.068,1000,scattered_jitter
Liquid,F3,CF3,1000,0.063,1000,scattered_jitter
Liquid,F3,CF6,8000,0.089,1000,scattered_jitter
Liquid,F3,CF5,4000,0.045,1000,scattered_jitter
Liquid,F3,CF4,2000,0.067,1000,scattered_jitter
Nasal,F1,CF3,1000,0.117,1000,loss
Nasal,F3,CF4,2000,0.195,1000,loss
Nasal,F1,CF5,4000,0.113,1000,loss
Nasal,F1,CF4,2000,0.115,1000,loss
Nasal,F2,CF3,1000,0.138,1000,loss
Nasal,F1,CF2,500,0.127,1000,loss
Nasal,F2,CF6,8000,0.174,1000,loss
Nasal,F2,CF4,2000,0.127,1000,loss
Nasal,F3,CF3,1000,0.202,1000,loss
Nasal,F2,CF5,4000,0.121,1000,loss
Nasal,F1,CF1,250,0.166,1000,loss
Nasal,F1,CF6,8000,0.159,1000,loss
Nasal,F3,CF1,250,0.262,1000,loss
Nasal,F2,CF2,500,0.13,1000,loss
Nasal,F2,CF1,250,0.188,1000,loss
Nasal,F3,CF2,500,0.204,1000,loss
Nasal,F2,CF1,250,0.154,1000,truncation
Nasal,F2,CF3,1000,0.131,1000,truncation
Nasal,F3,CF2,500,0.215,1000,truncation
Nasal,F1,CF2,500,0.124,1000,truncation
Nasal,F1,CF5,4000,0.132,1000,truncation
Nasal,F2,CF6,8000,0.161,1000,truncation
Nasal,F3,CF5,4000,0.192,1000,loss
Nasal,F1,CF4,2000,0.119,1000,truncation
Nasal,F1,CF6,8000,0.147,1000,truncation
Nasal,F2,CF2,500,0.137,1000,truncation
Nasal,F1,CF3,1000,0.117,1000,truncation
Nasal,F2,CF5,4000,0.145,1000,truncation
